item_id,restaurant_id,name,category,veg_flag,price,description,tags,historical_attach_rate
I00044,R0005,Spring Roll,side,veg,99,Crispy vegetable rolls,side|veg|Chinese,0.281
I00045,R0005,Momos,side,veg,132,Steamed dumplings,side|veg|Chinese,0.131
I00046,R0005,Honey Noodles,dessert,veg,88,Crispy noodles with honey,dessert|veg|Chinese,0.139
I00047,R0005,Date Pancake,dessert,veg,110,Sweet pancake with dates,dessert|veg|Chinese,0.297
I00048,R0005,Soft Drink,beverage,veg,55,Refreshing beverage,beverage|veg|Chinese,0.352
I00049,R0005,Green Tea,beverage,veg,44,Hot green tea,beverage|veg|Chinese,0.314
I00050,R0006,Veg Wrap,main,veg,143,Vegetable stuffed wrap,main|veg|Fast Food|popular,0.0
I00051,R0006,Chicken Wrap,main,non-veg,198,Chicken stuffed wrap,main|non-veg|Fast Food|popular,0.0
I00052,R0006,Sandwich,main,veg,110,Grilled sandwich,main|veg|Fast Food|popular,0.0
I00053,R0006,Frankie,main,veg,132,Stuffed roll,main|veg|Fast Food|popular,0.0
I00054,R0006,Fries,side,veg,88,Crispy fries,side|veg|Fast Food,0.105
I00055,R0006,Onion Rings,side,veg,99,Crispy onion rings,side|veg|Fast Food,0.216
I00056,R0006,Brownie,dessert,veg,110,Chocolate brownie,dessert|veg|Fast Food,0.207
I00057,R0006,Ice Cream,dessert,veg,66,Vanilla ice cream,dessert|veg|Fast Food,0.277
I00058,R0006,Cold Coffee,beverage,veg,132,Iced coffee,beverage|veg|Fast Food,0.206
I00059,R0006,Soft Drink,beverage,veg,55,Refreshing beverage,beverage|veg|Fast Food,0.238
I00060,R0007,Fish and Chips,main,non-veg,385,Classic fish and chips,main|non-veg|Continental|popular,0.0
I00061,R0007,Grilled Chicken,main,non-veg,352,Herb grilled chicken,main|non-veg|Continental|popular,0.0
I00062,R0007,Veg Steak,main,veg,308,Grilled vegetable steak,main|veg|Continental|popular,0.0
I00063,R0007,Pasta Arrabbiata,main,veg,264,Spicy tomato pasta,main|veg|Continental|popular,0.0
I00064,R0007,Caesar Salad,side,veg,154,Classic Caesar salad,side|veg|Continental,0.343
I00065,R0007,Garlic Bread,side,veg,99,Garlic bread,side|veg|Continental,0.305
I00066,R0007,Mashed Potatoes,side,veg,110,Creamy mashed potatoes,side|veg|Continental,0.209
I00067,R0007,Tiramisu,dessert,veg,198,Classic Italian dessert,dessert|veg|Continental,0.366
I00068,R0007,Panna Cotta,dessert,veg,176,Italian custard,dessert|veg|Continental,0.336
I00069,R0007,Lemonade,beverage,veg,77,Fresh lemonade,beverage|veg|Continental,0.287
I00070,R0007,Iced Tea,beverage,veg,88,Refreshing iced tea,beverage|veg|Continental,0.353
I00071,R0008,Chilli Chicken,main,non-veg,286,Spicy chicken preparation,main|non-veg|Chinese|popular,0.0
I00072,R0008,Fried Rice,main,veg,198,Stir-fried rice with vegetables,main|veg|Chinese|popular,0.0
I00073,R0008,Manchurian,main,veg,220,Vegetable balls in gravy,main|veg|Chinese|popular,0.0
I00074,R0008,Hakka Noodles,main,veg,187,Stir-fried noodles,main|veg|Chinese|popular,0.0
I00075,R0008,Spring Roll,side,veg,99,Crispy vegetable rolls,side|veg|Chinese,0.168
I00076,R0008,Chilli Potato,side,veg,121,Spicy potato fingers,side|veg|Chinese,0.19
I00077,R0008,Momos,side,veg,132,Steamed dumplings,side|veg|Chinese,0.28
I00078,R0008,Date Pancake,dessert,veg,110,Sweet pancake with dates,dessert|veg|Chinese,0.344
I00079,R0008,Honey Noodles,dessert,veg,88,Crispy noodles with honey,dessert|veg|Chinese,0.315
I00080,R0008,Soft Drink,beverage,veg,55,Refreshing beverage,beverage|veg|Chinese,0.351
I00081,R0008,Green Tea,beverage,veg,44,Hot green tea,beverage|veg|Chinese,0.243
I00082,R0009,Egg Biryani,main,non-veg,242,Rice with boiled eggs and spices,main|non-veg|Biryani|popular,0.0
I00083,R0009,Chicken Biryani,main,non-veg,308,Fragrant basmati rice with tender chicken pieces,main|non-veg|Biryani|popular,0.0
I00084,R0009,Veg Biryani,main,veg,220,Flavorful rice with mixed vegetables,main|veg|Biryani|popular,0.0
I00085,R0009,Mutton Biryani,main,non-veg,385,Aromatic rice with succulent mutton,main|non-veg|Biryani|popular,0.0
I00086,R0009,Salan,side,veg,66,Spicy curry accompaniment,side|veg|Biryani,0.282
I00087,R0009,Raita,side,veg,44,Cooling yogurt with cucumber and spices,side|veg|Biryani,0.165
I00088,R0009,Double Ka Meetha,side,veg,88,Sweet bread pudding,side|veg|Biryani,0.231
I00089,R0009,Gulab Jamun,dessert,veg,66,Soft milk dumplings in sugar syrup,dessert|veg|Biryani,0.247
I00090,R0009,Khubani Ka Meetha,dessert,veg,99,Apricot dessert,dessert|veg|Biryani,0.187
I00091,R0009,Soft Drink,beverage,veg,55,Refreshing carbonated beverage,beverage|veg|Biryani,0.164
I00092,R0009,Lassi,beverage,veg,77,Thick yogurt drink,beverage|veg|Biryani,0.148
I00093,R0010,Chicken Wrap,main,non-veg,251,Chicken stuffed wrap,main|non-veg|Italian|popular,0.0
I00094,R0010,Veg Wrap,main,veg,182,Vegetable stuffed wrap,main|veg|Italian|popular,0.0
I00095,R0010,Onion Rings,side,veg,125,Crispy onion rings,side|veg|Italian,0.267
I00096,R0010,Fries,side,veg,112,Crispy fries,side|veg|Italian,0.379
I00097,R0010,Brownie,dessert,veg,140,Chocolate brownie,dessert|veg|Italian,0.187
I00098,R0010,Ice Cream,dessert,veg,84,Vanilla ice cream,dessert|veg|Italian,0.162
I00099,R0010,Soft Drink,beverage,veg,70,Refreshing beverage,beverage|veg|Italian,0.32
I00100,R0010,Cold Coffee,beverage,veg,168,Iced coffee,beverage|veg|Italian,0.364
I00101,R0011,Pav Bhaji,main,veg,150,Mashed vegetable curry with bread,main|veg|Street Food|popular,0.0
I00102,R0011,Samosa,main,veg,37,Crispy pastry with filling,main|veg|Street Food|popular,0.0
I00103,R0011,Chole Bhature,main,veg,162,Chickpea curry with fried bread,main|veg|Street Food|popular,0.0
I00104,R0011,Papad,side,veg,25,Crispy papad,side|veg|Street Food,0.241
I00105,R0011,Extra Pav,side,veg,18,Extra bread,side|veg|Street Food,0.358
I00106,R0011,Rabri,dessert,veg,100,Thickened sweet milk,dessert|veg|Street Food,0.238
I00107,R0011,Jalebi,dessert,veg,62,Sweet fried spirals,dessert|veg|Street Food,0.166
I00108,R0011,Lassi,beverage,veg,75,Yogurt drink,beverage|veg|Street Food,0.358
I00109,R0011,Masala Chai,beverage,veg,37,Spiced tea,beverage|veg|Street Food,0.395
I00110,R0012,Sandwich,main,veg,110,Grilled sandwich,main|veg|Fast Food|popular,0.0
I00111,R0012,Chicken Wrap,main,non-veg,198,Chicken stuffed wrap,main|non-veg|Fast Food|popular,0.0
I00112,R0012,Veg Wrap,main,veg,143,Vegetable stuffed wrap,main|veg|Fast Food|popular,0.0
I00113,R0012,Frankie,main,veg,132,Stuffed roll,main|veg|Fast Food|popular,0.0
I00114,R0012,Onion Rings,side,veg,99,Crispy onion rings,side|veg|Fast Food,0.389
I00115,R0012,Fries,side,veg,88,Crispy fries,side|veg|Fast Food,0.142
I00116,R0012,Ice Cream,dessert,veg,66,Vanilla ice cream,dessert|veg|Fast Food,0.36
I00117,R0012,Brownie,dessert,veg,110,Chocolate brownie,dessert|veg|Fast Food,0.154
I00118,R0012,Soft Drink,beverage,veg,55,Refreshing beverage,beverage|veg|Fast Food,0.274
I00119,R0012,Cold Coffee,beverage,veg,132,Iced coffee,beverage|veg|Fast Food,0.378
I00120,R0013,Chicken Chettinad,main,non-veg,266,Spicy Chettinad chicken,main|non-veg|South Indian|popular,0.0
I00121,R0013,Vada,main,veg,66,Crispy fried lentil donuts,main|veg|South Indian|popular,0.0
I00122,R0013,Masala Dosa,main,veg,114,Crispy crepe with potato filling,main|veg|South Indian|popular,0.0
I00123,R0013,Idli Sambar,main,veg,76,Steamed rice cakes with lentil curry,main|veg|South Indian|popular,0.0
I00124,R0013,Sambar,side,veg,38,Lentil and vegetable curry,side|veg|South Indian,0.14
I00125,R0013,Tomato Chutney,side,veg,28,Tangy tomato chutney,side|veg|South Indian,0.178
I00126,R0013,Coconut Chutney,side,veg,28,Fresh coconut chutney,side|veg|South Indian,0.337
I00127,R0013,Payasam,dessert,veg,57,Sweet milk pudding,dessert|veg|South Indian,0.355
I00128,R0013,Kesari,dessert,veg,47,Semolina sweet,dessert|veg|South Indian,0.372
I00129,R0013,Buttermilk,beverage,veg,33,Spiced yogurt drink,beverage|veg|South Indian,0.271
I00130,R0013,Filter Coffee,beverage,veg,38,South Indian filter coffee,beverage|veg|South Indian,0.299
I00131,R0014,Pani Puri,main,veg,66,Crispy puris with flavored water,main|veg|Street Food|popular,0.0
I00132,R0014,Pav Bhaji,main,veg,132,Mashed vegetable curry with bread,main|veg|Street Food|popular,0.0
I00133,R0014,Chole Bhature,main,veg,143,Chickpea curry with fried bread,main|veg|Street Food|popular,0.0
I00134,R0014,Samosa,main,veg,33,Crispy pastry with filling,main|veg|Street Food|popular,0.0
I00135,R0014,Extra Pav,side,veg,16,Extra bread,side|veg|Street Food,0.263
I00136,R0014,Papad,side,veg,22,Crispy papad,side|veg|Street Food,0.397
I00137,R0014,Jalebi,dessert,veg,55,Sweet fried spirals,dessert|veg|Street Food,0.161
I00138,R0014,Rabri,dessert,veg,88,Thickened sweet milk,dessert|veg|Street Food,0.296
I00139,R0014,Lassi,beverage,veg,66,Yogurt drink,beverage|veg|Street Food,0.4
I00140,R0014,Masala Chai,beverage,veg,33,Spiced tea,beverage|veg|Street Food,0.256
I00141,R0015,Dal Makhani,main,veg,242,Creamy black lentils,main|veg|North Indian|popular,0.0
I00142,R0015,Rogan Josh,main,non-veg,418,Kashmiri lamb curry,main|non-veg|North Indian|popular,0.0
I00143,R0015,Butter Chicken,main,non-veg,352,Creamy tomato-based chicken curry,main|non-veg|North Indian|popular,0.0
I00144,R0015,Paneer Tikka,main,veg,308,Grilled cottage cheese,main|veg|North Indian|popular,0.0
I00145,R0015,Jeera Rice,side,veg,132,Cumin flavored rice,side|veg|North Indian,0.146
I00146,R0015,Garlic Naan,side,veg,66,Garlic flavored naan,side|veg|North Indian,0.178
I00147,R0015,Tandoori Roti,side,veg,27,Whole wheat flatbread,side|veg|North Indian,0.136
I00148,R0015,Butter Naan,side,veg,55,Buttery flatbread,side|veg|North Indian,0.362
I00149,R0015,Gulab Jamun,dessert,veg,66,Sweet milk dumplings,dessert|veg|North Indian,0.267
I00150,R0015,Rasmalai,dessert,veg,88,Soft cheese patties in milk,dessert|veg|North Indian,0.127
I00151,R0015,Lassi,beverage,veg,77,Sweet yogurt drink,beverage|veg|North Indian,0.268
I00152,R0015,Buttermilk,beverage,veg,44,Spiced yogurt drink,beverage|veg|North Indian,0.318
I00153,R0016,Paneer Tikka,main,veg,308,Grilled cottage cheese,main|veg|North Indian|popular,0.0
I00154,R0016,Rogan Josh,main,non-veg,418,Kashmiri lamb curry,main|non-veg|North Indian|popular,0.0
I00155,R0016,Dal Makhani,main,veg,242,Creamy black lentils,main|veg|North Indian|popular,0.0
I00156,R0016,Butter Chicken,main,non-veg,352,Creamy tomato-based chicken curry,main|non-veg|North Indian|popular,0.0
I00157,R0016,Butter Naan,side,veg,55,Buttery flatbread,side|veg|North Indian,0.274
I00158,R0016,Jeera Rice,side,veg,132,Cumin flavored rice,side|veg|North Indian,0.378
I00159,R0016,Garlic Naan,side,veg,66,Garlic flavored naan,side|veg|North Indian,0.321
I00160,R0016,Tandoori Roti,side,veg,27,Whole wheat flatbread,side|veg|North Indian,0.346
I00161,R0016,Rasmalai,dessert,veg,88,Soft cheese patties in milk,dessert|veg|North Indian,0.15
I00162,R0016,Gulab Jamun,dessert,veg,66,Sweet milk dumplings,dessert|veg|North Indian,0.287
I00163,R0016,Buttermilk,beverage,veg,44,Spiced yogurt drink,beverage|veg|North Indian,0.376
I00164,R0016,Lassi,beverage,veg,77,Sweet yogurt drink,beverage|veg|North Indian,0.163
I00165,R0017,Rogan Josh,main,non-veg,361,Kashmiri lamb curry,main|non-veg|North Indian|popular,0.0
I00166,R0017,Butter Chicken,main,non-veg,304,Creamy tomato-based chicken curry,main|non-veg|North Indian|popular,0.0
I00167,R0017,Paneer Tikka,main,veg,266,Grilled cottage cheese,main|veg|North Indian|popular,0.0
I00168,R0017,Dal Makhani,main,veg,209,Creamy black lentils,main|veg|North Indian|popular,0.0
I00169,R0017,Tandoori Roti,side,veg,23,Whole wheat flatbread,side|veg|North Indian,0.238
I00170,R0017,Butter Naan,side,veg,47,Buttery flatbread,side|veg|North Indian,0.256
I00171,R0017,Garlic Naan,side,veg,57,Garlic flavored naan,side|veg|North Indian,0.243
I00172,R0017,Jeera Rice,side,veg,114,Cumin flavored rice,side|veg|North Indian,0.21
I00173,R0017,Gulab Jamun,dessert,veg,57,Sweet milk dumplings,dessert|veg|North Indian,0.336
I00174,R0017,Rasmalai,dessert,veg,76,Soft cheese patties in milk,dessert|veg|North Indian,0.228
I00175,R0017,Lassi,beverage,veg,66,Sweet yogurt drink,beverage|veg|North Indian,0.127
I00176,R0017,Buttermilk,beverage,veg,38,Spiced yogurt drink,beverage|veg|North Indian,0.177
I00177,R0018,Pani Puri,main,veg,57,Crispy puris with flavored water,main|veg|Street Food|popular,0.0
I00178,R0018,Chole Bhature,main,veg,123,Chickpea curry with fried bread,main|veg|Street Food|popular,0.0
I00179,R0018,Pav Bhaji,main,veg,114,Mashed vegetable curry with bread,main|veg|Street Food|popular,0.0
I00180,R0018,Samosa,main,veg,28,Crispy pastry with filling,main|veg|Street Food|popular,0.0
I00181,R0018,Extra Pav,side,veg,14,Extra bread,side|veg|Street Food,0.154
I00182,R0018,Papad,side,veg,19,Crispy papad,side|veg|Street Food,0.336
I00183,R0018,Jalebi,dessert,veg,47,Sweet fried spirals,dessert|veg|Street Food,0.16
I00184,R0018,Rabri,dessert,veg,76,Thickened sweet milk,dessert|veg|Street Food,0.282
I00185,R0018,Lassi,beverage,veg,57,Yogurt drink,beverage|veg|Street Food,0.134
I00186,R0018,Masala Chai,beverage,veg,28,Spiced tea,beverage|veg|Street Food,0.36
I00187,R0019,Veg Wrap,main,veg,143,Vegetable stuffed wrap,main|veg|Fast Food|popular,0.0
I00188,R0019,Frankie,main,veg,132,Stuffed roll,main|veg|Fast Food|popular,0.0
I00189,R0019,Sandwich,main,veg,110,Grilled sandwich,main|veg|Fast Food|popular,0.0
I00190,R0019,Chicken Wrap,main,non-veg,198,Chicken stuffed wrap,main|non-veg|Fast Food|popular,0.0
I00191,R0019,Fries,side,veg,88,Crispy fries,side|veg|Fast Food,0.2
I00192,R0019,Onion Rings,side,veg,99,Crispy onion rings,side|veg|Fast Food,0.258
I00193,R0019,Ice Cream,dessert,veg,66,Vanilla ice cream,dessert|veg|Fast Food,0.185
I00194,R0019,Brownie,dessert,veg,110,Chocolate brownie,dessert|veg|Fast Food,0.325
I00195,R0019,Cold Coffee,beverage,veg,132,Iced coffee,beverage|veg|Fast Food,0.25
I00196,R0019,Soft Drink,beverage,veg,55,Refreshing beverage,beverage|veg|Fast Food,0.147
I00197,R0020,Veg Wrap,main,veg,143,Vegetable stuffed wrap,main|veg|Fast Food|popular,0.0
I00198,R0020,Chicken Wrap,main,non-veg,198,Chicken stuffed wrap,main|non-veg|Fast Food|popular,0.0
I00199,R0020,Frankie,main,veg,132,Stuffed roll,main|veg|Fast Food|popular,0.0
I00200,R0020,Sandwich,main,veg,110,Grilled sandwich,main|veg|Fast Food|popular,0.0
I00201,R0020,Fries,side,veg,88,Crispy fries,side|veg|Fast Food,0.129
I00202,R0020,Onion Rings,side,veg,99,Crispy onion rings,side|veg|Fast Food,0.38
I00203,R0020,Brownie,dessert,veg,110,Chocolate brownie,dessert|veg|Fast Food,0.311
I00204,R0020,Ice Cream,dessert,veg,66,Vanilla ice cream,dessert|veg|Fast Food,0.106
I00205,R0020,Soft Drink,beverage,veg,55,Refreshing beverage,beverage|veg|Fast Food,0.394
I00206,R0020,Cold Coffee,beverage,veg,132,Iced coffee,beverage|veg|Fast Food,0.244
I00207,R0021,Pani Puri,main,veg,57,Crispy puris with flavored water,main|veg|Street Food|popular,0.0
I00208,R0021,Pav Bhaji,main,veg,114,Mashed vegetable curry with bread,main|veg|Street Food|popular,0.0
I00209,R0021,Chole Bhature,main,veg,123,Chickpea curry with fried bread,main|veg|Street Food|popular,0.0
I00210,R0021,Samosa,main,veg,28,Crispy pastry with filling,main|veg|Street Food|popular,0.0
I00211,R0021,Papad,side,veg,19,Crispy papad,side|veg|Street Food,0.216
I00212,R0021,Extra Pav,side,veg,14,Extra bread,side|veg|Street Food,0.154
I00213,R0021,Jalebi,dessert,veg,47,Sweet fried spirals,dessert|veg|Street Food,0.135
I00214,R0021,Rabri,dessert,veg,76,Thickened sweet milk,dessert|veg|Street Food,0.34
I00215,R0021,Masala Chai,beverage,veg,28,Spiced tea,beverage|veg|Street Food,0.154
I00216,R0021,Lassi,beverage,veg,57,Yogurt drink,beverage|veg|Street Food,0.192
I00217,R0022,Pav Bhaji,main,veg,114,Mashed vegetable curry with bread,main|veg|Street Food|popular,0.0
I00218,R0022,Pani Puri,main,veg,57,Crispy puris with flavored water,main|veg|Street Food|popular,0.0
I00219,R0022,Samosa,main,veg,28,Crispy pastry with filling,main|veg|Street Food|popular,0.0
I00220,R0022,Chole Bhature,main,veg,123,Chickpea curry with fried bread,main|veg|Street Food|popular,0.0
I00221,R0022,Papad,side,veg,19,Crispy papad,side|veg|Street Food,0.369
I00222,R0022,Extra Pav,side,veg,14,Extra bread,side|veg|Street Food,0.373
I00223,R0022,Rabri,dessert,veg,76,Thickened sweet milk,dessert|veg|Street Food,0.299
I00224,R0022,Jalebi,dessert,veg,47,Sweet fried spirals,dessert|veg|Street Food,0.326
I00225,R0022,Lassi,beverage,veg,57,Yogurt drink,beverage|veg|Street Food,0.375
I00226,R0022,Masala Chai,beverage,veg,28,Spiced tea,beverage|veg|Street Food,0.233
I00227,R0023,Pasta Arrabbiata,main,veg,264,Spicy tomato pasta,main|veg|Continental|popular,0.0
I00228,R0023,Grilled Chicken,main,non-veg,352,Herb grilled chicken,main|non-veg|Continental|popular,0.0
I00229,R0023,Veg Steak,main,veg,308,Grilled vegetable steak,main|veg|Continental|popular,0.0
I00230,R0023,Fish and Chips,main,non-veg,385,Classic fish and chips,main|non-veg|Continental|popular,0.0
I00231,R0023,Mashed Potatoes,side,veg,110,Creamy mashed potatoes,side|veg|Continental,0.304
I00232,R0023,Caesar Salad,side,veg,154,Classic Caesar salad,side|veg|Continental,0.192
I00233,R0023,Garlic Bread,side,veg,99,Garlic bread,side|veg|Continental,0.286
I00234,R0023,Panna Cotta,dessert,veg,176,Italian custard,dessert|veg|Continental,0.162
I00235,R0023,Tiramisu,dessert,veg,198,Classic Italian dessert,dessert|veg|Continental,0.343
I00236,R0023,Lemonade,beverage,veg,77,Fresh lemonade,beverage|veg|Continental,0.345
I00237,R0023,Iced Tea,beverage,veg,88,Refreshing iced tea,beverage|veg|Continental,0.276
I00238,R0024,Sandwich,main,veg,95,Grilled sandwich,main|veg|Fast Food|popular,0.0
I00239,R0024,Chicken Wrap,main,non-veg,171,Chicken stuffed wrap,main|non-veg|Fast Food|popular,0.0
I00240,R0024,Frankie,main,veg,114,Stuffed roll,main|veg|Fast Food|popular,0.0
I00241,R0024,Veg Wrap,main,veg,123,Vegetable stuffed wrap,main|veg|Fast Food|popular,0.0
I00242,R0024,Fries,side,veg,76,Crispy fries,side|veg|Fast Food,0.302
I00243,R0024,Onion Rings,side,veg,85,Crispy onion rings,side|veg|Fast Food,0.242
I00244,R0024,Brownie,dessert,veg,95,Chocolate brownie,dessert|veg|Fast Food,0.396
I00245,R0024,Ice Cream,dessert,veg,57,Vanilla ice cream,dessert|veg|Fast Food,0.244
I00246,R0024,Cold Coffee,beverage,veg,114,Iced coffee,beverage|veg|Fast Food,0.385
I00247,R0024,Soft Drink,beverage,veg,47,Refreshing beverage,beverage|veg|Fast Food,0.375
I00248,R0025,Frankie,main,veg,132,Stuffed roll,main|veg|Fast Food|popular,0.0
I00249,R0025,Chicken Wrap,main,non-veg,198,Chicken stuffed wrap,main|non-veg|Fast Food|popular,0.0
I00250,R0025,Sandwich,main,veg,110,Grilled sandwich,main|veg|Fast Food|popular,0.0
I00251,R0025,Veg Wrap,main,veg,143,Vegetable stuffed wrap,main|veg|Fast Food|popular,0.0
I00252,R0025,Fries,side,veg,88,Crispy fries,side|veg|Fast Food,0.215
I00253,R0025,Onion Rings,side,veg,99,Crispy onion rings,side|veg|Fast Food,0.145
I00254,R0025,Brownie,dessert,veg,110,Chocolate brownie,dessert|veg|Fast Food,0.297
I00255,R0025,Ice Cream,dessert,veg,66,Vanilla ice cream,dessert|veg|Fast Food,0.366
I00256,R0025,Cold Coffee,beverage,veg,132,Iced coffee,beverage|veg|Fast Food,0.343
I00257,R0025,Soft Drink,beverage,veg,55,Refreshing beverage,beverage|veg|Fast Food,0.34
I00258,R0026,Pancake,main,veg,176,Fluffy pancakes,main|veg|Desserts|popular,0.0
I00259,R0026,Waffle,main,veg,198,Belgian waffle with toppings,main|veg|Desserts|popular,0.0
I00260,R0026,Ice Cream Sundae,main,veg,165,Loaded ice cream sundae,main|veg|Desserts|popular,0.0
I00261,R0026,Syrup Shot,side,veg,33,Extra syrup,side|veg|Desserts,0.286
I00262,R0026,Extra Toppings,side,veg,44,Additional toppings,side|veg|Desserts,0.346
I00263,R0026,Cheesecake,dessert,veg,198,Creamy cheesecake,dessert|veg|Desserts,0.323
I00264,R0026,Chocolate Cake,dessert,veg,132,Rich chocolate cake,dessert|veg|Desserts,0.205
I00265,R0026,Hot Chocolate,beverage,veg,110,Rich hot chocolate,beverage|veg|Desserts,0.356
I00266,R0026,Milkshake,beverage,veg,143,Thick milkshake,beverage|veg|Desserts,0.372
I00267,R0027,Mojito,main,veg,154,Refreshing mint drink,main|veg|Beverages|popular,0.0
I00268,R0027,Cold Coffee,main,veg,182,Iced coffee,main|veg|Beverages|popular,0.0
I00269,R0027,Extra Shot,side,veg,42,Extra coffee shot,side|veg|Beverages,0.107
I00270,R0027,Whipped Cream,side,veg,35,Extra whipped cream,side|veg|Beverages,0.209
I00271,R0027,Muffin,dessert,veg,84,Fresh muffin,dessert|veg|Beverages,0.151
I00272,R0027,Cookie,dessert,veg,70,Fresh baked cookie,dessert|veg|Beverages,0.294
I00273,R0027,Water Bottle,beverage,veg,28,Mineral water,beverage|veg|Beverages,0.194
I00274,R0027,Soft Drink,beverage,veg,70,Refreshing beverage,beverage|veg|Beverages,0.168
I00275,R0028,Veg Biryani,main,veg,250,Flavorful rice with mixed vegetables,main|veg|Biryani|popular,0.0
I00276,R0028,Mutton Biryani,main,non-veg,437,Aromatic rice with succulent mutton,main|non-veg|Biryani|popular,0.0
I00277,R0028,Chicken Biryani,main,non-veg,350,Fragrant basmati rice with tender chicken pieces,main|non-veg|Biryani|popular,0.0
I00278,R0028,Raita,side,veg,50,Cooling yogurt with cucumber and spices,side|veg|Biryani,0.184
I00279,R0028,Salan,side,veg,75,Spicy curry accompaniment,side|veg|Biryani,0.36
I00280,R0028,Double Ka Meetha,side,veg,100,Sweet bread pudding,side|veg|Biryani,0.11
I00281,R0028,Khubani Ka Meetha,dessert,veg,112,Apricot dessert,dessert|veg|Biryani,0.212
