cart_event_id,session_id,item_id,action,cart_state,cart_value,cart_size,label,candidate_category,candidate_price
CE0000139,S000017,I05310,csao_accept,I05305|I05304,385,2,1,dessert,55.0
CE0000140,S000017,I05310,add,I05305|I05304|I05310,440,3,-1,,
CE0000141,S000017,I05311,csao_reject,I05305|I05304|I05310,440,3,0,beverage,38.0
CE0000142,S000017,I05312,csao_reject,I05305|I05304|I05310,440,3,0,beverage,44.0
CE0000143,S000017,I05308,csao_accept,I05305|I05304|I05310,440,3,1,side,33.0
CE0000144,S000017,I05308,add,I05305|I05304|I05310|I05308,473,4,-1,,
CE0000145,S000017,I05309,csao_accept,I05305|I05304|I05310|I05308,473,4,1,dessert,66.0
CE0000146,S000017,I05309,add,I05305|I05304|I05310|I05308|I05309,539,5,-1,,
CE0000147,S000017,I05307,csao_accept,I05305|I05304|I05310|I05308|I05309,539,5,1,side,33.0
CE0000148,S000017,I05307,add,I05305|I05304|I05310|I05308|I05309|I05307,572,6,-1,,
CE0000149,S000018,I04932,add,I04932,165,1,-1,,
CE0000150,S000018,I04933,add,I04932|I04933,363,2,-1,,
CE0000151,S000018,I04936,csao_reject,I04932|I04933,363,2,0,side,44.0
CE0000152,S000018,I04935,csao_reject,I04932|I04933,363,2,0,side,33.0
CE0000153,S000018,I04937,csao_reject,I04932|I04933,363,2,0,dessert,198.0
CE0000154,S000018,I04938,csao_accept,I04932|I04933,363,2,1,dessert,132.0
CE0000155,S000018,I04938,add,I04932|I04933|I04938,495,3,-1,,
CE0000156,S000018,I04940,csao_reject,I04932|I04933|I04938,495,3,0,beverage,143.0
CE0000157,S000018,I04939,csao_reject,I04932|I04933|I04938,495,3,0,beverage,110.0
CE0000158,S000019,I01328,add,I01328,143,1,-1,,
CE0000159,S000019,I01329,csao_reject,I01328,143,1,0,side,27.0
CE0000160,S000019,I01332,csao_reject,I01328,143,1,0,dessert,66.0
CE0000161,S000019,I01333,csao_reject,I01328,143,1,0,beverage,55.0
CE0000162,S000019,I01331,csao_reject,I01328,143,1,0,dessert,55.0
CE0000163,S000019,I01334,csao_reject,I01328,143,1,0,beverage,22.0
CE0000164,S000020,I00579,add,I00579,110,1,-1,,
CE0000165,S000020,I00580,add,I00579|I00580,242,2,-1,,
CE0000166,S000020,I00586,csao_reject,I00579|I00580,242,2,0,beverage,55.0
CE0000167,S000020,I00585,csao_accept,I00579|I00580,242,2,1,dessert,66.0
CE0000168,S000020,I00585,add,I00579|I00580|I00585,308,3,-1,,
CE0000169,S000020,I00582,csao_reject,I00579|I00580|I00585,308,3,0,side,88.0
CE0000170,S000020,I00583,csao_reject,I00579|I00580|I00585,308,3,0,side,99.0
CE0000171,S000020,I00584,csao_accept,I00579|I00580|I00585,308,3,1,dessert,110.0
CE0000172,S000020,I00584,add,I00579|I00580|I00585|I00584,418,4,-1,,
CE0000173,S000020,I00587,csao_accept,I00579|I00580|I00585|I00584,418,4,1,beverage,132.0
CE0000174,S000020,I00587,add,I00579|I00580|I00585|I00584|I00587,550,5,-1,,
CE0000175,S000021,I06801,add,I06801,350,1,-1,,
CE0000176,S000021,I06799,add,I06801|I06799,787,2,-1,,
CE0000177,S000021,I06806,csao_reject,I06801|I06799,787,2,0,dessert,75.0
CE0000178,S000021,I06802,csao_accept,I06801|I06799,787,2,1,side,50.0
CE0000179,S000021,I06802,add,I06801|I06799|I06802,837,3,-1,,
CE0000180,S000021,I06805,csao_reject,I06801|I06799|I06802,837,3,0,dessert,112.0
CE0000181,S000021,I06804,csao_reject,I06801|I06799|I06802,837,3,0,side,75.0
CE0000182,S000021,I06807,csao_accept,I06801|I06799|I06802,837,3,1,beverage,62.0
CE0000183,S000021,I06807,add,I06801|I06799|I06802|I06807,899,4,-1,,
CE0000184,S000021,I06808,csao_reject,I06801|I06799|I06802|I06807,899,4,0,beverage,87.0
CE0000185,S000021,I06803,csao_reject,I06801|I06799|I06802|I06807,899,4,0,side,100.0
CE0000186,S000022,I01345,add,I01345,165,1,-1,,
CE0000187,S000022,I01344,add,I01345|I01344,363,2,-1,,
CE0000188,S000022,I01350,csao_reject,I01345|I01344,363,2,0,dessert,132.0
CE0000189,S000022,I01352,csao_reject,I01345|I01344,363,2,0,beverage,110.0
CE0000190,S000022,I01347,csao_reject,I01345|I01344,363,2,0,side,44.0
CE0000191,S000022,I01349,csao_accept,I01345|I01344,363,2,1,dessert,198.0
CE0000192,S000022,I01349,add,I01345|I01344|I01349,561,3,-1,,
CE0000193,S000023,I07688,add,I07688,300,1,-1,,
CE0000194,S000023,I07687,add,I07688|I07687,700,2,-1,,
CE0000195,S000023,I07694,csao_reject,I07688|I07687,700,2,0,dessert,225.0
CE0000196,S000023,I07696,csao_reject,I07688|I07687,700,2,0,beverage,87.0
CE0000197,S000023,I07695,csao_reject,I07688|I07687,700,2,0,beverage,100.0
CE0000198,S000023,I07690,csao_accept,I07688|I07687,700,2,1,side,125.0
CE0000199,S000023,I07690,add,I07688|I07687|I07690,825,3,-1,,
CE0000200,S000024,I07830,add,I07830,165,1,-1,,
CE0000201,S000024,I07831,add,I07830|I07831,308,2,-1,,
CE0000202,S000024,I07834,csao_reject,I07830|I07831,308,2,0,dessert,55.0
CE0000203,S000024,I07832,csao_accept,I07830|I07831,308,2,1,side,33.0
CE0000204,S000024,I07832,add,I07830|I07831|I07832,341,3,-1,,
CE0000205,S000024,I07835,csao_accept,I07830|I07831|I07832,341,3,1,dessert,66.0
CE0000206,S000024,I07835,add,I07830|I07831|I07832|I07835,407,4,-1,,
CE0000207,S000024,I07833,csao_accept,I07830|I07831|I07832|I07835,407,4,1,side,27.0
CE0000208,S000024,I07833,add,I07830|I07831|I07832|I07835|I07833,434,5,-1,,
CE0000209,S000024,I07837,csao_accept,I07830|I07831|I07832|I07835|I07833,434,5,1,beverage,55.0
CE0000210,S000024,I07837,add,I07830|I07831|I07832|I07835|I07833|I07837,489,6,-1,,
CE0000211,S000024,I07836,csao_accept,I07830|I07831|I07832|I07835|I07833|I07837,489,6,1,beverage,22.0
CE0000212,S000024,I07836,add,I07830|I07831|I07832|I07835|I07833|I07837|I07836,511,7,-1,,
CE0000213,S000025,I06059,add,I06059,150,1,-1,,
CE0000214,S000025,I06058,add,I06059|I06058,225,2,-1,,
CE0000215,S000025,I06065,csao_reject,I06059|I06058,225,2,0,beverage,37.0
CE0000216,S000025,I06063,csao_accept,I06059|I06058,225,2,1,dessert,62.0
CE0000217,S000025,I06063,add,I06059|I06058|I06063,287,3,-1,,
CE0000218,S000025,I06064,csao_accept,I06059|I06058|I06063,287,3,1,beverage,75.0
CE0000219,S000025,I06064,add,I06059|I06058|I06063|I06064,362,4,-1,,
CE0000220,S000025,I06061,csao_reject,I06059|I06058|I06063|I06064,362,4,0,side,18.0
CE0000221,S000025,I06062,csao_reject,I06059|I06058|I06063|I06064,362,4,0,dessert,100.0
CE0000222,S000025,I06060,csao_accept,I06059|I06058|I06063|I06064,362,4,1,side,25.0
CE0000223,S000025,I06060,add,I06059|I06058|I06063|I06064|I06060,387,5,-1,,
CE0000224,S000026,I05263,add,I05263,275,1,-1,,
CE0000225,S000026,I05264,add,I05263|I05264,625,2,-1,,
CE0000226,S000026,I05265,csao_reject,I05263|I05264,625,2,0,side,62.0
CE0000227,S000026,I05268,csao_accept,I05263|I05264,625,2,1,dessert,75.0
CE0000228,S000026,I05268,add,I05263|I05264|I05268,700,3,-1,,
CE0000229,S000026,I05266,csao_reject,I05263|I05264|I05268,700,3,0,side,150.0
CE0000230,S000026,I05270,csao_reject,I05263|I05264|I05268,700,3,0,beverage,50.0
CE0000231,S000026,I05271,csao_accept,I05263|I05264|I05268,700,3,1,beverage,87.0
CE0000232,S000026,I05271,add,I05263|I05264|I05268|I05271,787,4,-1,,
CE0000233,S000026,I05267,csao_reject,I05263|I05264|I05268|I05271,787,4,0,side,75.0
CE0000234,S000026,I05269,csao_reject,I05263|I05264|I05268|I05271,787,4,0,dessert,100.0
CE0000235,S000027,I01426,add,I01426,352,1,-1,,
CE0000236,S000027,I01424,add,I01426|I01424,594,2,-1,,
CE0000237,S000027,I01428,csao_reject,I01426|I01424,594,2,0,side,55.0
CE0000238,S000027,I01430,csao_accept,I01426|I01424,594,2,1,side,132.0
CE0000239,S000027,I01430,add,I01426|I01424|I01430,726,3,-1,,
CE0000240,S000027,I01434,csao_accept,I01426|I01424|I01430,726,3,1,beverage,44.0
CE0000241,S000027,I01434,add,I01426|I01424|I01430|I01434,770,4,-1,,
CE0000242,S000027,I01433,csao_accept,I01426|I01424|I01430|I01434,770,4,1,dessert,88.0
CE0000243,S000027,I01433,add,I01426|I01424|I01430|I01434|I01433,858,5,-1,,
CE0000244,S000027,I01429,csao_reject,I01426|I01424|I01430|I01434|I01433,858,5,0,side,27.0
CE0000245,S000028,I00964,add,I00964,171,1,-1,,
CE0000246,S000028,I00967,csao_reject,I00964,171,1,0,side,85.0
CE0000247,S000028,I00968,csao_accept,I00964,171,1,1,side,76.0
CE0000248,S000028,I00968,add,I00964|I00968,247,2,-1,,
CE0000249,S000028,I00972,csao_reject,I00964|I00968,247,2,0,beverage,114.0
CE0000250,S000028,I00971,csao_reject,I00964|I00968,247,2,0,beverage,47.0
CE0000251,S000028,I00970,csao_accept,I00964|I00968,247,2,1,dessert,57.0
CE0000252,S000028,I00970,add,I00964|I00968|I00970,304,3,-1,,
CE0000253,S000028,I00969,csao_accept,I00964|I00968|I00970,304,3,1,dessert,95.0
CE0000254,S000028,I00969,add,I00964|I00968|I00970|I00969,399,4,-1,,
CE0000255,S000029,I07254,add,I07254,286,1,-1,,
CE0000256,S000029,I07255,csao_reject,I07254,286,1,0,side,99.0
CE0000257,S000029,I07260,csao_reject,I07254,286,1,0,beverage,44.0
CE0000258,S000029,I07256,csao_reject,I07254,286,1,0,side,132.0
CE0000259,S000029,I07259,csao_accept,I07254,286,1,1,dessert,110.0
CE0000260,S000029,I07259,add,I07254|I07259,396,2,-1,,
CE0000261,S000029,I07258,csao_reject,I07254|I07259,396,2,0,dessert,88.0
CE0000262,S000030,I00296,add,I00296,212,1,-1,,
CE0000263,S000030,I00294,add,I00296|I00294,462,2,-1,,
CE0000264,S000030,I00303,csao_reject,I00296|I00294,462,2,0,beverage,50.0
CE0000265,S000030,I00300,csao_accept,I00296|I00294,462,2,1,dessert,100.0
CE0000266,S000030,I00300,add,I00296|I00294|I00300,562,3,-1,,
CE0000267,S000030,I00301,csao_accept,I00296|I00294|I00300,562,3,1,dessert,125.0
CE0000268,S000030,I00301,add,I00296|I00294|I00300|I00301,687,4,-1,,
CE0000269,S000030,I00298,csao_accept,I00296|I00294|I00300|I00301,687,4,1,side,150.0
CE0000270,S000030,I00298,add,I00296|I00294|I00300|I00301|I00298,837,5,-1,,
CE0000271,S000030,I00297,csao_accept,I00296|I00294|I00300|I00301|I00298,837,5,1,side,112.0
CE0000272,S000030,I00297,add,I00296|I00294|I00300|I00301|I00298|I00297,949,6,-1,,
CE0000273,S000030,I00299,csao_reject,I00296|I00294|I00300|I00301|I00298|I00297,949,6,0,side,137.0
CE0000274,S000030,I00302,csao_accept,I00296|I00294|I00300|I00301|I00298|I00297,949,6,1,beverage,62.0
CE0000275,S000030,I00302,add,I00296|I00294|I00300|I00301|I00298|I00297|I00302,1011,7,-1,,
CE0000276,S000031,I05568,add,I05568,143,1,-1,,
CE0000277,S000031,I05566,add,I05568|I05566,176,2,-1,,
CE0000278,S000031,I05574,csao_accept,I05568|I05566,176,2,1,beverage,66.0
CE0000279,S000031,I05574,add,I05568|I05566|I05574,242,3,-1,,
CE0000280,S000031,I05572,csao_accept,I05568|I05566|I05574,242,3,1,dessert,55.0
CE0000281,S000031,I05572,add,I05568|I05566|I05574|I05572,297,4,-1,,
CE0000282,S000031,I05571,csao_accept,I05568|I05566|I05574|I05572,297,4,1,dessert,88.0
CE0000283,S000031,I05571,add,I05568|I05566|I05574|I05572|I05571,385,5,-1,,
CE0000284,S000031,I05573,csao_reject,I05568|I05566|I05574|I05572|I05571,385,5,0,beverage,33.0
CE0000285,S000032,I01169,add,I01169,137,1,-1,,
CE0000286,S000032,I01167,add,I01169|I01167,324,2,-1,,
CE0000287,S000032,I01171,csao_reject,I01169|I01167,324,2,0,side,31.0
CE0000288,S000032,I01175,csao_accept,I01169|I01167,324,2,1,beverage,25.0
CE0000289,S000032,I01175,add,I01169|I01167|I01175,349,3,-1,,
CE0000290,S000032,I01173,csao_reject,I01169|I01167|I01175,349,3,0,dessert,75.0
CE0000291,S000032,I01170,csao_reject,I01169|I01167|I01175,349,3,0,side,37.0
CE0000292,S000032,I01172,csao_accept,I01169|I01167|I01175,349,3,1,dessert,62.0
CE0000293,S000032,I01172,add,I01169|I01167|I01175|I01172,411,4,-1,,
CE0000294,S000032,I01174,csao_accept,I01169|I01167|I01175|I01172,411,4,1,beverage,62.0
CE0000295,S000032,I01174,add,I01169|I01167|I01175|I01172|I01174,473,5,-1,,
CE0000296,S000033,I07610,add,I07610,66,1,-1,,
CE0000297,S000033,I07611,add,I07610|I07611,180,2,-1,,
CE0000298,S000033,I07613,csao_reject,I07610|I07611,180,2,0,side,38.0
CE0000299,S000033,I07614,csao_reject,I07610|I07611,180,2,0,side,28.0
CE0000300,S000033,I07617,csao_reject,I07610|I07611,180,2,0,beverage,38.0
CE0000301,S000033,I07616,csao_reject,I07610|I07611,180,2,0,dessert,47.0
CE0000302,S000033,I07618,csao_reject,I07610|I07611,180,2,0,beverage,33.0
CE0000303,S000033,I07612,csao_accept,I07610|I07611,180,2,1,side,28.0
CE0000304,S000033,I07612,add,I07610|I07611|I07612,208,3,-1,,
CE0000305,S000033,I07615,csao_accept,I07610|I07611|I07612,208,3,1,dessert,57.0
CE0000306,S000033,I07615,add,I07610|I07611|I07612|I07615,265,4,-1,,
CE0000307,S000034,I05720,add,I05720,198,1,-1,,
CE0000308,S000034,I05721,csao_reject,I05720,198,1,0,side,121.0
CE0000309,S000034,I05725,csao_accept,I05720,198,1,1,dessert,88.0
CE0000310,S000034,I05725,add,I05720|I05725,286,2,-1,,
CE0000311,S000034,I05722,csao_reject,I05720|I05725,286,2,0,side,132.0
CE0000312,S000034,I05726,csao_accept,I05720|I05725,286,2,1,beverage,55.0
CE0000313,S000034,I05726,add,I05720|I05725|I05726,341,3,-1,,
CE0000314,S000034,I05724,csao_reject,I05720|I05725|I05726,341,3,0,dessert,110.0
CE0000315,S000034,I05727,csao_accept,I05720|I05725|I05726,341,3,1,beverage,44.0
CE0000316,S000034,I05727,add,I05720|I05725|I05726|I05727,385,4,-1,,
CE0000317,S000035,I03093,add,I03093,132,1,-1,,
CE0000318,S000035,I03096,add,I03093|I03096,330,2,-1,,
CE0000319,S000035,I03099,csao_reject,I03093|I03096,330,2,0,dessert,66.0
CE0000320,S000035,I03098,csao_accept,I03093|I03096,330,2,1,side,88.0
CE0000321,S000035,I03098,add,I03093|I03096|I03098,418,3,-1,,
CE0000322,S000035,I03097,csao_accept,I03093|I03096|I03098,418,3,1,side,99.0
CE0000323,S000035,I03097,add,I03093|I03096|I03098|I03097,517,4,-1,,
CE0000324,S000035,I03100,csao_accept,I03093|I03096|I03098|I03097,517,4,1,dessert,110.0
CE0000325,S000035,I03100,add,I03093|I03096|I03098|I03097|I03100,627,5,-1,,
CE0000326,S000035,I03101,csao_reject,I03093|I03096|I03098|I03097|I03100,627,5,0,beverage,55.0
CE0000327,S000036,I05420,add,I05420,28,1,-1,,
CE0000328,S000036,I05423,csao_reject,I05420,28,1,0,side,14.0
CE0000329,S000036,I05428,csao_reject,I05420,28,1,0,beverage,28.0
CE0000330,S000036,I05424,csao_reject,I05420,28,1,0,side,19.0
CE0000331,S000036,I05426,csao_reject,I05420,28,1,0,dessert,76.0
CE0000332,S000037,I07302,add,I07302,286,1,-1,,
CE0000333,S000037,I07310,csao_reject,I07302,286,1,0,dessert,88.0
CE0000334,S000037,I07311,csao_reject,I07302,286,1,0,beverage,44.0
CE0000335,S000037,I07307,csao_reject,I07302,286,1,0,side,132.0
CE0000336,S000037,I07309,csao_accept,I07302,286,1,1,dessert,110.0
CE0000337,S000037,I07309,add,I07302|I07309,396,2,-1,,
CE0000338,S000037,I07308,csao_reject,I07302|I07309,396,2,0,side,99.0
CE0000339,S000037,I07312,csao_reject,I07302|I07309,396,2,0,beverage,55.0
CE0000340,S000038,I01782,add,I01782,77,1,-1,,
CE0000341,S000038,I01786,csao_accept,I01782,77,1,1,side,33.0
CE0000342,S000038,I01786,add,I01782|I01786,110,2,-1,,
CE0000343,S000038,I01787,csao_reject,I01782|I01786,110,2,0,side,44.0
CE0000344,S000038,I01788,csao_reject,I01782|I01786,110,2,0,dessert,55.0
CE0000345,S000038,I01790,csao_reject,I01782|I01786,110,2,0,beverage,44.0
CE0000346,S000038,I01789,csao_accept,I01782|I01786,110,2,1,dessert,66.0
